Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Lakia,"skye, sova",6,0,0,0,0,0,0,0,0,40,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Munchkin,"kayo, viper",3,3,0,0,0,0,0,0,0,49,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,t3xture,jett,9,1,1,0,0,1,0,0,0,73,0,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Meteor,killjoy,6,3,1,0,1,0,1,0,0,68,1,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Karon,omen,3,2,2,0,1,0,0,0,0,54,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,TenZ,omen,6,1,0,0,0,0,0,0,0,47,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Sacy,sova,8,1,0,0,0,0,0,0,0,72,3,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Zellsis,"breach, cypher",2,2,0,0,0,0,0,0,0,36,7,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,johnqt,"cypher, deadlock",4,1,0,0,0,0,0,0,0,34,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,zekken,jett,2,1,0,0,0,0,0,0,0,38,1,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Autumn,"chamber, viper",13,2,0,0,2,1,0,0,0,52,3,3
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Life,"raze, yoru",4,4,0,0,1,0,0,0,0,45,6,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,BerLIN,"astra, omen",8,2,0,0,0,1,0,0,0,42,6,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,AAAAY,"fade, gekko",8,5,1,1,1,0,0,0,0,52,7,3
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Lysoar,"cypher, omen, viper",10,1,1,0,1,0,0,0,0,53,7,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,Boo,"astra, brimstone, fade",6,2,0,0,0,0,0,0,0,42,4,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,RieNs,"gekko, sova, viper",17,3,2,0,1,1,0,0,0,68,13,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,MiniBoo,"jett, raze",10,1,0,0,0,0,0,0,0,35,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,Wo0t,"fade, gekko, omen",8,3,0,0,0,0,1,0,0,42,11,4
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,benjyfishy,"cypher, killjoy, viper",8,5,0,0,0,1,0,0,0,52,0,3
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,BuZz,"jett, raze",6,4,0,0,0,0,0,0,0,57,1,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,MaKo,"brimstone, omen",7,0,0,0,0,0,0,0,0,47,7,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,BeYN,"fade, sova",5,2,1,0,2,1,0,0,0,46,1,3
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,Foxy9,"breach, gekko, kayo",5,3,0,0,0,0,0,0,0,51,7,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,Flashback,"cypher, viper",9,2,1,0,2,0,0,0,0,63,0,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,Melser,"brimstone, harbor, omen",6,2,1,0,1,1,0,0,0,69,0,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,keznit,"neon, omen, raze",9,3,2,0,0,0,0,0,0,59,3,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,heat,"breach, fade, sova",9,0,0,0,0,0,0,0,0,48,1,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,Shyy,"cypher, viper",6,3,0,0,2,1,1,0,0,47,2,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,mta,"gekko, kayo, sova",7,2,0,0,0,0,0,0,0,48,8,0
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Boaster,"astra, omen",4,1,0,0,0,1,0,0,0,51,1,0
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Chronicle,viper,10,2,0,0,1,0,0,0,0,72,0,2
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Derke,raze,6,3,0,0,0,0,0,0,0,60,2,3
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Alfajer,"gekko, killjoy",4,1,0,0,0,0,0,0,0,50,6,1
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,FNATIC,hiro,fade,7,3,0,0,0,1,1,0,0,64,2,2
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,Flex1n,"brimstone, omen",4,0,0,0,0,0,0,0,0,38,3,0
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,Knight,"breach, cypher",6,1,0,0,0,0,0,0,0,44,3,0
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,whzy,"neon, raze",5,2,1,1,0,0,0,0,0,54,0,1
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,Yosemite,"cypher, viper",4,0,0,0,0,0,0,0,0,35,1,1
Valorant Champions 2024,Group Stage,Opening (A),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,nephh,"fade, skye",4,1,0,0,0,0,0,0,0,51,8,0
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,LEVIATÁN,C0M,"sova, viper",5,2,0,0,1,0,0,0,0,70,1,2
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,LEVIATÁN,tex,"cypher, gekko",3,2,0,0,1,0,0,0,0,43,10,0
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,LEVIATÁN,Mazino,"deadlock, skye",5,0,0,0,0,0,0,0,0,42,0,2
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,LEVIATÁN,aspas,"jett, raze",8,0,1,0,0,0,0,0,0,63,0,1
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,LEVIATÁN,kiNgg,"brimstone, omen",5,4,0,1,1,1,0,0,0,63,3,2
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,Talon Esports,Crws,"kayo, omen",4,1,0,0,0,0,0,0,0,37,6,0
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,Talon Esports,Governor,"neon, sova",6,2,0,0,0,0,0,0,0,47,0,0
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,Talon Esports,ban,"phoenix, skye",6,0,0,0,0,0,0,0,0,40,3,2
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,Talon Esports,JitBoyS,"clove, viper",8,0,0,0,0,0,0,0,0,51,3,2
Valorant Champions 2024,Group Stage,Opening (C),LEVIATÁN vs Talon Esports,All Maps,Talon Esports,primmie,"sage, yoru",9,3,0,0,0,0,0,0,0,56,2,1
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,All Maps,Team Vitality,Sayf,"jett, neon, raze",10,2,0,0,0,1,0,0,0,50,2,1
Valorant Champions 2024,Group Stage,Opening (C),Team Vitality vs Trace Esports,All Maps,Team Vitality,trexx,"fade, sova",10,5,2,0,1,1,0,0,0,80,4,2
