Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Valorant Champions 2024,All Stages,All Match Types,LuoK1ng,Trace Esports,"astra, brimstone, omen",208,1.04,202,1.1,74%,131,0.75,0.35,0.07,0.04,33%,0%,0/29,27,155,141,73,15,9
Valorant Champions 2024,All Stages,All Match Types,heybay,Trace Esports,"breach, deadlock, kayo, viper",208,0.86,163,0.79,74%,109,0.56,0.4,0.06,0.08,25%,9%,2/22,20,117,148,84,13,16
Valorant Champions 2024,All Stages,All Match Types,Kai,Trace Esports,"cypher, jett, killjoy",208,1.1,214,1.1,70%,146,0.76,0.17,0.14,0.13,29%,4%,1/26,25,158,143,36,29,26
Valorant Champions 2024,All Stages,All Match Types,FengF,Trace Esports,"cypher, killjoy, raze",208,0.95,203,1.02,67%,132,0.71,0.1,0.13,0.14,29%,15%,3/20,21,147,144,21,28,29
Valorant Champions 2024,All Stages,All Match Types,Biank,Trace Esports,"fade, skye, sova",208,0.82,166,0.78,64%,107,0.54,0.34,0.1,0.11,16%,35%,6/17,18,113,145,71,20,23
Valorant Champions 2024,All Stages,All Match Types,Karon,Gen.G,"astra, brimstone, omen, viper",153,0.99,180,1,73%,115,0.67,0.42,0.07,0.07,32%,19%,3/16,23,103,103,64,11,10
Valorant Champions 2024,All Stages,All Match Types,Meteor,Gen.G,"cypher, killjoy, yoru",153,1.17,241,1.32,71%,161,0.9,0.17,0.11,0.1,37%,16%,3/19,28,137,104,26,17,16
Valorant Champions 2024,All Stages,All Match Types,Lakia,Gen.G,"fade, gekko, skye, sova",153,0.61,118,0.56,69%,80,0.39,0.3,0.05,0.09,23%,25%,3/12,16,60,108,46,8,14
Valorant Champions 2024,All Stages,All Match Types,t3xture,Gen.G,"jett, raze",153,1.14,243,1.17,69%,157,0.84,0.18,0.18,0.14,25%,19%,3/16,24,128,109,27,28,21
Valorant Champions 2024,All Stages,All Match Types,Munchkin,Gen.G,"kayo, viper",153,0.95,192,0.84,78%,127,0.6,0.49,0.1,0.08,24%,19%,2/26,21,92,109,75,15,13
